Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3DHALL1,TMAG5170A2QDGKR,SOP65P490X110-8N,164.6,-118.2,-90.0,top
3DHALL2,TMAG5170A2QDGKR,SOP65P490X110-8N,202.4,-118.2,-90.0,top
C1,4.7uf,C_0805_2012Metric,198.7,-98.45,-90.0,top
C2,100nf,C_0805_2012Metric,201.2,-98.45,-90.0,top
C3,10uf,C_0805_2012Metric,194.2,-86.25,90.0,top
C4,100nf,C_0805_2012Metric,196.4,-86.2,90.0,top
C5,100nf,C_0805_2012Metric,200.95,-91.65,90.0,top
C6,10uf,C_0805_2012Metric,203.2,-91.65,90.0,top
C7,10uf,C_0805_2012Metric,198.7,-91.6,90.0,top
C8,1uf,C_0805_2012Metric,194.75,-96.0,-90.0,top
C9,22uf,C_0805_2012Metric,199.5,-94.6,0.0,top
HALL1,AH8503-FDC-7,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,196.0,-81.4,0.0,top
HALL2,AH8503-FDC-7,DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,170.999953,-81.374918,0.0,top
J1,Conn_01x05_Shielded,PinHeader_1x05_P2.54mm_Vertical,165.1,-92.28,0.0,top
J2,Conn_01x04_MountingPin,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,197.7,-105.7,90.0,top
J3,53261-4002,532614002,183.25,-110.3,180.0,top
LDO1.9,TLV70019DDCR,SOT95P280X110-5N,195.5,-92.0,-90.0,top
R1,10k,R_0805_2012Metric,172.0,-96.5,180.0,top
RLED1,2.2,R_0805_2012Metric,173.0,-100.0,-90.0,top
RLED2,2.2,R_0805_2012Metric,170.2,-100.8,180.0,top
RLED3,.1,R_0805_2012Metric,170.2,-102.9,0.0,top
RLED4,.1,R_0805_2012Metric,170.2,-104.9,180.0,top
RLED5,1,R_0805_2012Metric,167.4,-104.1,-90.0,top
SW1,SW_Push,SW_TS-1088-AR02016,204.4,-97.075,-90.0,top
Switch1,SSSS811101,SSSS811101,183.62,-80.345,180.0,top
U2,nice_nano,nice_nano,183.5,-96.11,-90.0,top
